flightNumber;plane;dep_date;dep_time;dep_airport_name;dep_airport_code;dep_weather_min;dep_weather_max;dep_weather_desc;dep_door;arr_date;arr_time;arr_airport_name;arr_weather_min;arr_weather_max;arr_weather_desc;arr_belt;new_dep_status;new_arr_status;time_difference;time_difference_minutes;delayed
ANE8607; CANADAIR CRJ-200;13/04/18;14:40;ALICANTE-ELCHE;ALC;11;18;Nubosidad variable;B30;13/04/18;15:40;PALMA DE MALLORCA;12;17;Lluvia;6;Despego;Aterrizo;0 days 00:54:00;54;0
IBB622; ATR-42/72;13/04/18;14:00;LA PALMA;SPC;16;21;Nubosidad variable;5;13/04/18;14:30;TENERIFE NORTE;17;22;Nubosidad variable;3;Despego;Aterrizo;0 days 00:30:00;30;0
AEA4065; ATR-72;13/04/18;14:30;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;6;14;Chubascos dispersos;D61;13/04/18;15:35;VALENCIA;11;21;Nubosidad variable;4;Despego;Aterrizo;0 days 01:01:00;61;1
IBE2204; ATR-72;13/04/18;13:40;GRAN CANARIA;LPA;16;21;Nubosidad variable;A09;13/04/18;14:20;FUERTEVENTURA;16;22;Nubosidad variable;14;Despego;Aterrizo;0 days 00:42:00;42;0
HTY113; AWH;13/04/18;15:20;CEUTA;JCU;11;17;Lluvia; - ;13/04/18;15:30;ALGECIRAS / HELIPUERTO;9;16;Tormentas localmente fuertes; - ;Despego;Aterrizo;0 days 00:11:00;11;1
AEA6067; BOEING 737-800 WINGLETS;13/04/18;13:50;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;6;14;Chubascos dispersos;E69;13/04/18;15:10;PALMA DE MALLORCA;12;17;Lluvia;13;Despego;Aterrizo;0 days 01:15:00;75;1
AEA7235; EMBRAER ERJ-195;13/04/18;14:15;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;6;14;Chubascos dispersos;D60;13/04/18;15:30;A CORUÑA;10;15;Chubascos dispersos;1;Despego;Aterrizo;0 days 01:17:00;77;1
IBE1430; AIRBUS A320;13/04/18;14:30;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;6;14;Chubascos dispersos;J46;13/04/18;15:45;BARCELONA-EL PRAT;12;17;Lluvia;15;Despego;Aterrizo;0 days 01:10:00;70;0
VLG1306; 32A;13/04/18;14:10;BARCELONA-EL PRAT;BCN;12;17;Lluvia;B43;13/04/18;15:20;ALICANTE-ELCHE;11;18;Nubosidad variable;11B;Despego;Aterrizo;0 days 01:04:00;64;1
IBS3875; AIRBUS A320;13/04/18;14:40;SANTIAGO;SCQ;10;15;Chubascos dispersos;3;13/04/18;15:55;MADRID-BARAJAS ADOLFO SUÁREZ;6;14;Chubascos dispersos;15;Despego;Aterrizo;0 days 01:09:00;69;0
AEA6024; EMBRAER ERJ-195;13/04/18;14:50;IBIZA;IBZ;13;17;Nuboso a muy nuboso;1;13/04/18;16:05;MADRID-BARAJAS ADOLFO SUÁREZ;6;14;Chubascos dispersos;18;Despego;Aterrizo;0 days 01:07:00;67;1
AEA1707; ATR-72;13/04/18;15:10;IBIZA;IBZ;13;17;Nuboso a muy nuboso;16;13/04/18;15:50;PALMA DE MALLORCA;12;17;Lluvia;13;Despego;Aterrizo;0 days 00:47:00;47;0
IBB223; ATR-42/72;13/04/18;13:30;FUERTEVENTURA;FUE;16;22;Nubosidad variable;16;13/04/18;14:10;GRAN CANARIA;16;21;Nubosidad variable;13;Despego;Aterrizo;0 days 00:42:00;42;1
